chr,start,end,value,area,cluster,indexStart,indexEnd,L,clusterL,p.value,fwer,p.valueArea,fwerArea,effect_450K,effect_EPIC
8,144660590,144660659,-0.103584659860235,0.414338639440938,213775,208803,208806,4,7,0.157959359575869,1,0.19169627828689,1,-0.0835788135716652,-0.0759415597870751
2,241497412,241497417,-0.137350898585637,0.412052695756912,131761,70927,70929,3,7,0.0971938754766997,1,0.193013554939381,1,-0.166862894327994,0.0763600744015829
7,116962950,116963259,-0.134896614912739,0.404689844738217,199853,183986,183988,3,9,0.104934908644425,1,0.197225587692408,1,-0.166611945068322,0.00978197880497485
2,30669597,30669759,0.189145398770885,0.37829079754177,117730,46453,46454,2,9,0.0296875127052146,1,0.212439319894943,1,-0.00936617754529322,0.0420452205765259
1,42383900,42384056,-0.121445923049472,0.364337769148416,7892,14962,14964,3,8,0.160187346012799,1,0.22281490636765,1,-0.0198863960213023,-0.017733875823731
8,54164051,54164081,-0.181833182458473,0.363666364916947,208483,199643,199644,2,7,0.0360868752083655,1,0.223400362657646,1,-0.10837565237225,0.0666894857505653
6,32633114,32633163,0.12085695067738,0.362570852032139,181393,147572,147574,3,11,0.163057708101251,1,0.22427854709264,1,0.195294654578993,0.000816440336983329
13,91827286,91827600,-0.119238988266016,0.357716964798048,61167,294639,294641,3,7,0.171481773607305,1,0.228498711183028,1,-0.118390266252155,-0.222394219633998
1,151584902,151585010,-0.112886942170351,0.338660826511053,13849,26338,26340,3,13,0.205730966572072,1,0.24730649449915,1,0.0100438382156626,0.0148152459210056
3,195489708,195489789,-0.112474639142503,0.33742391742751,155037,93600,93602,3,8,0.207934558996918,1,0.248607508476919,1,-0.0492738611152567,-0.0808867352644418
10,134902168,134902278,-0.167687782533845,0.33537556506769,33036,239579,239580,2,10,0.0544799603190737,1,0.250754181540238,1,-0.192964206769011,-0.209610691990391
10,134351354,134351371,-0.165831758643989,0.331663517287977,32667,238717,238718,2,8,0.0579764353843277,1,0.254836112895488,1,-0.0460205185739856,0.0226588934620899
14,88792937,88793021,-0.14129580368601,0.28259160737202,67996,307694,307695,2,7,0.127783966628991,1,0.300176450020735,1,-0.0853790116819157,0.00262540396460172
19,13875014,13875111,0.140200827442883,0.280401654885767,107880,386244,386245,2,12,0.13262211235882,1,0.302087314300583,1,-0.0408451238837558,-0.261412381490909
6,150070997,150071069,0.139061104020549,0.278122208041097,188023,161331,161332,2,7,0.137736723558924,1,0.304055097941959,1,0.0162952935131735,0.0436096838120729
12,57040199,57040204,0.136740636904383,0.273481273808766,51225,275762,275763,2,9,0.148754685683154,1,0.308413494767484,1,0.242537598508742,0.226747008892837
3,187871801,187871836,-0.13385952298985,0.2677190459797,154438,92642,92643,2,7,0.1640497312593,1,0.314528260462998,1,-0.00486589872160336,0.0065084568578766
19,1407376,1407468,-0.132686401512442,0.265372803024883,104654,379421,379422,2,8,0.171099600751336,1,0.31731730917784,1,-0.0464220045923492,0.024093096611469
6,83073803,83073819,0.132030793050146,0.264061586100292,184706,155296,155297,2,7,0.17529537082964,1,0.319130597409356,1,-0.0307117277858684,0.0257218563574909
5,174151779,174152033,-0.129788100544151,0.259576201088301,175881,131838,131839,2,12,0.189842333368569,1,0.325538091249868,1,-0.0737642475550837,0.0224916638652985
22,45809952,45810043,-0.127490422223312,0.254980844446625,141983,421340,421341,2,15,0.205698441222628,1,0.332156999861767,1,-0.0923698431260068,-0.0946472982602645
1,242011104,242011162,0.126073896621974,0.252147793243948,21416,40031,40032,2,12,0.216350493165611,1,0.337019539603679,1,0.0971695947505335,0.126444368248854
17,7036834,7036934,0.124855696475171,0.249711392950342,90442,350274,350275,2,7,0.226026784625267,1,0.341158390320456,1,0.085665779786999,0.129940483905998
6,33244172,33244178,0.123915669056166,0.247831338112332,181639,149090,149091,2,8,0.233418170286467,1,0.344402793927517,1,0.0737056425961467,0.157484307314366
13,108922032,108922150,0.123097849683535,0.246195699367071,62069,296262,296263,2,8,0.240110260934616,1,0.347460176775274,1,0.0426370718830814,0.103462940110467
14,97925164,97925289,-0.118195641550581,0.236391283101163,68968,309480,309481,2,7,0.285702669518056,1,0.368748017986518,1,-0.15162312442633,-0.0444759924605411
14,29236476,29236535,-0.117314494946617,0.234628989893234,64425,301207,301208,2,13,0.294915474748132,1,0.373179596848294,1,-0.115305413673933,-0.108953689112908
2,114385132,114385169,0.11453389579645,0.2290677915929,123356,56334,56335,2,7,0.3233182361503,1,0.387295598507086,1,0.0664123071141252,0.0324207686401526
1,215256254,215256262,-0.109659842410277,0.219319684820555,19289,36302,36303,2,8,0.376732991275075,1,0.415080378269814,1,-0.0774339810087291,-0.057578297149494
11,45940039,45940058,-0.109390516914221,0.218781033828441,37693,249321,249322,2,7,0.379676535399777,1,0.416747302428831,1,-0.0583857438368179,0.0558836313947473
3,188665413,188665466,-0.109283611945549,0.218567223891097,154513,92734,92735,2,9,0.380823053967686,1,0.417381546742993,1,-0.0926172603073865,-0.113053629919591
10,17659395,17659399,-0.109218938370307,0.218437876740614,23920,222358,222359,2,7,0.381595531016986,1,0.417910083671461,1,-0.0949730198321162,0.0371793464071865
18,56806937,56807035,0.108941420334779,0.217882840669558,103063,376436,376437,2,9,0.38470170188891,1,0.419715240565616,1,0.0426636798276722,0.0680298941229653
21,38071673,38071688,-0.108555523962668,0.217111047925336,137495,412566,412567,2,7,0.388954391328742,1,0.422301005846432,1,-0.0762525984215771,-0.0511934320399321
5,78985588,78985592,-0.107612891782099,0.215225783564199,169973,121094,121095,2,8,0.39956578658492,1,0.428253144794724,1,-0.10039452013321,-0.0885899854814447
2,176987918,176987918,-0.210258768831556,0.210258768831556,126870,62255,62255,1,8,0.0230523414185931,1,0.443873443865313,1,-0.240036462294011,-0.143823121616802
20,13976117,13976126,-0.101808697308165,0.20361739461633,133093,403447,403448,2,9,0.453354583228304,1,0.46187622478269,1,-0.147782571285602,-0.0369171631698377
5,146889265,146889275,-0.101376514620032,0.202753029240064,173979,128509,128510,2,8,0.455720802400371,1,0.463770826387816,1,-0.107055937141978,-0.100853430256362
2,176987605,176987605,-0.158836396951081,0.158836396951081,126869,62254,62254,1,10,0.104447028402761,1,0.492303689187761,1,0.0153661000362248,-0.0933917071834114
2,238969828,238969828,-0.158512691510352,0.158512691510352,131205,69830,69830,1,8,0.105617940982753,1,0.492726518730536,1,-0.033252685436169,0.0273129614487803
11,134094620,134094620,-0.156894263211096,0.156894263211096,46154,265852,265852,1,8,0.111887202088127,1,0.494930111155382,1,-0.0547597948490915,0.0205518612357857
17,48473757,48473757,0.156185314511772,0.156185314511772,96340,362491,362491,1,10,0.114594937429359,1,0.495857083614542,1,0.154837557539628,0.122662667101096
1,20879813,20879813,-0.153115317263674,0.153115317263674,4862,8988,8988,1,12,0.127840885990519,1,0.500548865271871,1,-0.166104077704648,-0.30994386466963
7,150020401,150020401,-0.15182732526299,0.15182732526299,202153,188029,188029,1,8,0.133736105577284,1,0.502931347118661,1,-0.0808807314884586,-0.216171051337075
12,70636659,70636659,-0.151415343172558,0.151415343172558,52190,277569,277569,1,9,0.13563070718241,1,0.50346801538449,1,-0.0298758528443662,-0.0078704989932544
6,56819432,56819432,-0.14781204562757,0.14781204562757,184045,154073,154073,1,7,0.154357177124922,1,0.510420308828193,1,-0.0753987831273756,-0.0189872005034388
19,4831543,4831543,-0.1454760949253,0.1454760949253,105988,382080,382080,1,8,0.167326660215806,1,0.515421081305242,1,-0.00960363586020136,-0.100184880080658
14,27068354,27068354,-0.141810239963246,0.141810239963246,64402,301153,301153,1,7,0.190704255128841,1,0.525048584740732,1,-0.193935348529773,-0.0729061494127873
4,171011099,171011099,-0.139094086376222,0.139094086376222,164195,110415,110415,1,10,0.211187093941341,1,0.533285629487482,1,-0.177821429700076,0.0807240337038111
2,190526628,190526628,0.138877734988792,0.138877734988792,127462,63363,63363,1,12,0.213146746245355,1,0.534171945259837,1,0.0306383732133342,0.0693025330338813
10,104000831,104000831,-0.138595482179324,0.138595482179324,29882,233185,233185,1,8,0.215155186573536,1,0.535082655044275,1,-0.0908084668417765,-0.237088183169033
14,93582779,93582779,-0.137345820780041,0.137345820780041,68514,308631,308631,1,7,0.22574218781763,1,0.539481708556606,1,-0.0540418082657405,-0.0736169761784997
18,12376968,12376968,-0.136794277836371,0.136794277836371,101769,373774,373774,1,9,0.230027402606907,1,0.541229946089233,1,-0.0362831474857874,0.0754820500316769
22,39096513,39096513,-0.136048624919708,0.136048624919708,141115,419531,419531,1,7,0.236768281279222,1,0.543953944105187,1,-0.0898474938300361,0.0404170252682164
3,9956823,9956823,0.135823609002855,0.135823609002855,143345,72707,72707,1,8,0.238662882884348,1,0.544799603190737,1,0.096436089179628,0.150480489160233
1,224370155,224370155,0.135618070685866,0.135618070685866,19823,37188,37188,1,7,0.240468039778502,1,0.545523292215871,1,-0.0783374142231108,0.0725136108871263
7,23053549,23053549,-0.135018832344343,0.135018832344343,193238,171662,171662,1,11,0.246111187907075,1,0.547873248713216,1,-0.098385572593367,-0.0102482472785452
15,98504173,98504173,-0.134139301006242,0.134139301006242,77966,326177,326177,1,14,0.254299444629658,1,0.551353461103748,1,-0.152533762556735,-0.0676885647605535
10,8077830,8077830,-0.133087581597824,0.133087581597824,23274,221108,221108,1,7,0.264756344475976,1,0.555728120603996,1,-0.0457997014960148,-0.0511567454968375
1,45205796,45205796,-0.132482329802784,0.132482329802784,8347,15896,15896,1,10,0.271163838316488,1,0.558322017222173,1,-0.0692758390032427,0.00108175693140659
5,45696206,45696206,-0.131335275270731,0.131335275270731,168314,118154,118154,1,10,0.28380806791293,1,0.563818801278246,1,-0.0324377112002527,-0.13413196458659
1,12227927,12227927,0.130347262189465,0.130347262189465,3500,6695,6695,1,8,0.295232596905213,1,0.568803311080574,1,0.0462756105999009,0.188322575208171
17,77951858,77951858,0.13027932934569,0.13027932934569,99770,369282,369282,1,7,0.295883103894097,1,0.56908790788821,1,0.0875325138969408,-0.0664202238210732
17,7825949,7825949,-0.129877698787111,0.129877698787111,90760,351122,351122,1,7,0.30083508834698,1,0.571340288337223,1,-0.0590224265761962,-0.0837192805812642
14,52781312,52781312,0.129093383588912,0.129093383588912,65379,303030,303030,1,7,0.309820216130947,1,0.575446613704556,1,0.108722905993946,-0.0111667271879893
10,48354852,48354852,-0.128877390209329,0.128877390209329,25721,225546,225546,1,8,0.312658052869956,1,0.576828941055936,1,-0.0110567920534042,0.0772014514379764
16,70322827,70322827,0.128637416525321,0.128637416525321,85614,340763,340763,1,13,0.315861799790212,1,0.578162480383149,1,-0.00684139629000191,0.0767596998597373
20,62168463,62168463,0.128309341575218,0.128309341575218,136460,410589,410589,1,9,0.319976256494906,1,0.580122132687163,1,0.222351571299758,-0.0788505672076933
4,54231840,54231840,0.128243573999255,0.128243573999255,159370,101966,101966,1,7,0.320960148315593,1,0.58047991153105,1,0.0813160345211114,0.0593851973361964
6,33560953,33560953,0.12704730315135,0.12704730315135,181741,149964,149964,1,8,0.336661760759792,1,0.587293972239614,1,0.0953308806068613,0.00290827337646286
19,44952808,44952808,-0.126895439659858,0.126895439659858,111616,394430,394430,1,9,0.33849131166603,1,0.588196550686691,1,0.0539048013243479,-0.0747705837874305
4,153701590,153701590,0.126871749621796,0.126871749621796,163475,109123,109123,1,7,0.338840959172555,1,0.588326652084468,1,-0.00240478222800988,0.0396586773187484
3,42814705,42814705,-0.126660963157665,0.126660963157665,145531,76581,76581,1,7,0.342028443418089,1,0.589717110773209,1,-0.0428750637718118,-0.02254897643908
1,203274134,203274134,0.126194456973189,0.126194456973189,18031,34106,34106,1,7,0.34866361470471,1,0.592888332344021,1,0.0887719218015264,0.169441337815559
13,48807339,48807339,-0.124878914751915,0.124878914751915,59902,292447,292447,1,9,0.367715338141664,1,0.601564469308267,1,-0.050354384463597,0.00901586683276749
7,27213610,27213610,-0.123387878224806,0.123387878224806,193620,172611,172611,1,9,0.390540002114148,1,0.612606825444581,1,-0.166010305181833,-0.0627992591283761
12,107349641,107349641,-0.122663015599921,0.122663015599921,53929,280641,280641,1,7,0.402606906757954,1,0.618290630259959,1,-0.0953587973228224,0.0181008700128473
7,153584416,153584416,-0.122622138814069,0.122622138814069,202697,189102,189102,1,7,0.403330595783088,1,0.618656540441206,1,-0.1080905017985,-0.0848028941677859
8,146077906,146077906,-0.122000577970748,0.122000577970748,214366,210055,210055,1,8,0.413470373472325,1,0.623600393556728,1,0.0021752279542152,-0.144761181999168
12,86229804,86229804,0.121605785263226,0.121605785263226,52733,278505,278505,1,7,0.420097413421586,1,0.626861059838512,1,0.134317643180947,-0.00136320582393803
15,59499291,59499291,0.121486552883016,0.121486552883016,73905,318962,318962,1,8,0.422162773111294,1,0.62777176962295,1,0.164896728004661,0.126185250436143
7,129690864,129690864,0.120308563861396,0.120308563861396,200607,185307,185307,1,11,0.443255462225872,1,0.638188012782462,1,0.0975698041505171,0.0551883429390411
8,42248702,42248702,0.119876892235498,0.119876892235498,207949,198750,198750,1,11,0.451216041502346,1,0.642074792041047,1,0.121135166757299,-0.00363747275890593
12,109536430,109536430,0.119668250532695,0.119668250532695,54146,281057,281057,1,8,0.455232922158707,1,0.643912474284646,1,0.0853313368439383,0.136160246208039
14,73525269,73525269,0.11958495122686,0.11958495122686,67065,306007,306007,1,8,0.456655906196892,1,0.644538587261447,1,0.018693154224365,0.0729757777189949
6,75953307,75953307,0.119384733382229,0.119384733382229,184518,154940,154940,1,9,0.46048576609395,1,0.646246168107269,1,0.0797056331721963,0.123646068294813
3,124931535,124931535,-0.119315388890342,0.119315388890342,150365,85229,85229,1,8,0.461754254722274,1,0.646734048348932,1,-0.193819688098652,0.0912698198405032
8,22102425,22102425,-0.118770259619302,0.118770259619302,206321,195808,195808,1,10,0.472528276725673,1,0.65203568030834,1,-0.0890012396467746,0.0106043517781647
17,62050038,62050038,0.118401457978919,0.118401457978919,97487,364747,364747,1,7,0.479293549410072,1,0.655377659963734,1,0.15303161301548,0.0302793875953275
14,24809759,24809759,0.118155332103868,0.118155332103868,64319,301008,301008,1,8,0.484383766598092,1,0.657947162569828,1,0.169202884732911,-0.0133498918238756
3,31494791,31494791,0.118060131273364,0.118060131273364,144762,75169,75169,1,8,0.486262105528496,1,0.658987973752043,1,0.145123383812862,-0.0533100323138982
22,43547974,43547974,0.118052159160891,0.118052159160891,141767,420892,420892,1,10,0.486457257625162,1,0.659085549800376,1,0.147425100742855,-1.22741363517099e-05
21,30364895,30364895,0.11679258959256,0.11679258959256,137020,411609,411609,1,8,0.512591375903595,1,0.672298973012091,1,0.0520312807510493,0.0683276965274871
6,28979498,28979498,0.116649651043282,0.116649651043282,180070,140323,140323,1,10,0.515429212642603,1,0.673721957050276,1,0.0605207013165511,0.125233560144094
6,32362318,32362318,0.116420747515339,0.116420747515339,181325,147425,147425,1,7,0.520194176336182,1,0.676258934306925,1,0.171295098046846,-0.171174843201555
1,57111499,57111499,-0.116246513860836,0.116246513860836,9537,18164,18164,1,13,0.52395085419699,1,0.678137273237329,1,0.00373312842246699,-0.081310366850652
8,146078187,146078187,0.116182802535679,0.116182802535679,214366,210056,210056,1,8,0.52503232206601,1,0.678722729527325,1,0.109929173958841,0.2411584968462
6,41703039,41703039,0.116009888848829,0.116009888848829,182809,151859,151859,1,8,0.52880526260154,1,0.680723038518145,1,0.0354668805721691,0.0690046646381484
7,44240380,44240380,0.115291539748838,0.115291539748838,195005,175006,175006,1,8,0.544384904985323,1,0.688781193842951,1,0.0900049274548297,0.12821886783526
7,135433353,135433353,0.114936431422699,0.114936431422699,201059,186160,186160,1,8,0.552337352924436,1,0.692846862523479,1,0.0694842627595646,0.12320918922872
7,38217509,38217509,0.114718851717451,0.114718851717451,194532,174190,174190,1,9,0.557134841967458,1,0.6954732844911,1,-0.00408256282721616,0.0604885170362017
12,6664872,6664872,0.114374554377307,0.114374554377307,47152,267768,267768,1,8,0.564778299086851,1,0.699563347183711,1,0.0914934764242142,0.10444450450763
6,122931702,122931702,-0.114193279876955,0.114193279876955,186489,158670,158670,1,10,0.568803311080574,1,0.701766939608557,1,-0.0386720741010064,-0.00412935108886273
15,27216819,27216819,-0.114148156470427,0.114148156470427,71422,314285,314285,1,17,0.569949829648482,1,0.702311739211748,1,-0.0706891236807755,0.025467310506973
1,45806501,45806501,0.113809704997317,0.113809704997317,8427,16076,16076,1,13,0.578268187768842,1,0.70671892406144,1,0.14001114779379,0.0769530117197123
22,22307197,22307197,-0.113765351887114,0.113765351887114,139642,416504,416504,1,7,0.579365918312585,1,0.707320643026159,1,-0.160775492881334,-0.00188364160578481
5,154320902,154320902,0.113032282743875,0.113032282743875,174655,129737,129737,1,9,0.59688895032566,1,0.716931883786926,1,0.0494864768842104,-0.0119338655716765
11,64808491,64808491,0.112964351839204,0.112964351839204,39688,253377,253377,1,9,0.598637187858287,1,0.717915775607614,1,-0.0235639584715233,0.0289089389458185
8,144120106,144120106,0.112917431668481,0.112917431668481,213530,208280,208280,1,7,0.59973491840203,1,0.718541888584416,1,0.133940330053066,0.0267711977274916
16,58548873,58548873,0.112871221752223,0.112871221752223,84694,338967,338967,1,7,0.600938356331466,1,0.719143607549134,1,0.0977602948214183,0.125785246236066
16,4384967,4384967,-0.112689287421134,0.112689287421134,80564,331451,331451,1,7,0.605134126409771,1,0.721639928118978,1,0.0234891004480565,-0.24270385945846
13,25946220,25946220,-0.112027796685628,0.112027796685628,58323,289562,289562,1,7,0.621909075385629,1,0.731291825566551,1,-0.0226518128252803,-0.00570550148651139
10,14880332,14880332,-0.111958274805523,0.111958274805523,23745,222005,222005,1,7,0.623697969605061,1,0.732357030760849,1,0.00351376228212787,0.00977166698159425
12,133177383,133177383,-0.111322820370476,0.111322820370476,57428,287765,287765,1,7,0.639985038339256,1,0.741651149364536,1,-0.100503770824288,-0.0886267706056637
1,55266296,55266296,-0.111077607678646,0.111077607678646,9369,17916,17916,1,11,0.64633561281824,1,0.745350907863816,1,-0.0105572611985619,-0.231954233836751
2,178937838,178937838,0.110684923721541,0.110684923721541,127020,62611,62611,1,8,0.656662411266781,1,0.751278652800026,1,0.0877243951979398,0.0121799079881054
6,109703513,109703513,-0.110660319447471,0.110660319447471,185860,157527,157527,1,12,0.657353574942471,1,0.751717745017523,1,-0.0785331677606953,-0.0234878720912815
22,32340140,32340140,0.1105991558269,0.1105991558269,140509,418289,418289,1,8,0.65911807514982,1,0.752766687537099,1,0.123785847591819,-0.0586378383941872
21,42218932,42218932,-0.110565119305327,0.110565119305327,137749,413027,413027,1,8,0.660053178946341,1,0.753205779754596,1,-0.0670419203746509,-0.169265204447716
6,17600994,17600994,0.110354566874664,0.110354566874664,178926,137322,137322,1,10,0.665842691147413,1,0.756555890747351,1,0.133557290806948,0.103584773684737
1,150208087,150208087,0.110335378771218,0.110335378771218,13619,25790,25790,1,10,0.666330571389076,1,0.756832356217627,1,-0.0197829167814921,0.128386321067207
6,26017939,26017939,-0.11032355968914,0.11032355968914,179429,138151,138151,1,7,0.666696481570324,1,0.757019376976932,1,-0.158420090268441,-0.0381943847562606
11,70244230,70244230,0.110223381118756,0.110223381118756,41063,256540,256540,1,9,0.66936356022475,1,0.758531805726088,1,0.0372552650730622,0.187472272616338
6,146919633,146919633,0.109951848238387,0.109951848238387,187813,160977,160977,1,10,0.676323985005814,1,0.762670656442865,1,0.0872414626529334,0.0958834260606908
1,27930345,27930345,0.109776129177143,0.109776129177143,6043,11325,11325,1,8,0.681446727543279,1,0.765768695977427,1,0.0732864969478414,0.058449504696863
16,57279285,57279285,0.109732614439263,0.109732614439263,84462,338522,338522,1,8,0.682642034135354,1,0.766541173026728,1,0.0608373242223734,0.0919955048119539
17,40932572,40932572,-0.109558212723677,0.109558212723677,94827,359211,359211,1,7,0.687545230564071,1,0.769419666452541,1,-0.171841143402084,0.0682641931400338
20,5451900,5451900,-0.108658791616635,0.108658791616635,132895,403010,403010,1,7,0.713053235865703,1,0.784869207438547,1,-0.19019918056135,0.0145313792459283
20,13200685,13200685,-0.10858746997763,0.10858746997763,133071,403360,403360,1,27,0.714996625494995,1,0.786129564729511,1,0.0931378287646893,-0.0715859271390066
17,79633271,79633271,0.10845399100632,0.10845399100632,100519,370950,370950,1,13,0.719054162838162,1,0.788609622624633,1,0.0980501281335339,0.0657199791783982
17,36982030,36982030,0.108128401184557,0.108128401184557,93909,357250,357250,1,7,0.72843772615282,1,0.79466746895862,1,0.0575865042485716,-0.0727433464062521
6,153305022,153305022,0.107827272954374,0.107827272954374,188289,161871,161871,1,7,0.737707450744424,1,0.800408193135525,1,-0.0243534873558982,0.0669003945819343
2,200320455,200320455,0.107685229579102,0.107685229579102,127863,64054,64054,1,7,0.742049584895228,1,0.80306714045259,1,0.0924390959426121,0.0536246400977314
4,967094,967094,0.107433952824764,0.107433952824764,155740,95047,95047,1,10,0.750278498304616,1,0.808108569616445,1,0.0403258172240349,0.0942752004066202
12,77157476,77157476,0.107423619206405,0.107423619206405,52471,278057,278057,1,8,0.750554963774892,1,0.808295590375749,1,0.0601109832624619,0.000722302360303282
14,37051417,37051417,-0.107092882042765,0.107092882042765,64787,301889,301889,1,7,0.760442670005936,1,0.81454045746904,1,-0.178925355858822,0.110659572755601
7,89748633,89748633,-0.106549142874175,0.106549142874175,197669,179626,179626,1,7,0.77757539782568,1,0.825777965702019,1,-0.129883865608605,-0.0182791814443553
5,114515626,114515626,0.10648835899343,0.10648835899343,171380,123493,123493,1,10,0.779437474081362,1,0.826883827583123,1,0.0620020159807296,0.107510771674835
2,105854051,105854051,-0.106420128470896,0.106420128470896,122676,55194,55194,1,8,0.781429651734821,1,0.828225498247697,1,-0.0449199981621101,-0.0577792625764458
4,80246713,80246713,0.106400772242877,0.106400772242877,160489,103851,103851,1,7,0.782226522796204,1,0.828754035176165,1,0.179922279057905,0.047483669276318
4,154713496,154713496,0.106368933656595,0.106368933656595,163602,109365,109365,1,8,0.783251071303697,1,0.829453330189216,1,0.0387890377995978,0.0894782554661837
13,31040574,31040574,0.105950807019193,0.105950807019193,58781,290425,290425,1,9,0.796773485335133,1,0.838479114659988,1,0.0584672617408271,0.00454639839992106
6,27214794,27214794,0.105883900707111,0.105883900707111,179667,138854,138854,1,7,0.799107179157756,1,0.840105382132199,1,0.00719883293352145,0.201483077344384
12,62997103,62997103,0.105859421441928,0.105859421441928,51678,276701,276701,1,10,0.799960969580667,1,0.84072336377164,1,0.044444113278316,0.178241756009969
6,105628165,105628165,0.105808811672333,0.105808811672333,185501,156902,156902,1,10,0.801538449028712,1,0.841829225652743,1,0.195215281051863,0.0299421144297114
2,217363620,217363620,0.105780608751125,0.105780608751125,128935,65891,65891,1,7,0.8025223408494,1,0.842471601304266,1,-0.0136954814454336,0.00358504518176786
15,53096763,53096763,0.105763823972052,0.105763823972052,73599,318390,318390,1,11,0.80314032248884,1,0.842870036834958,1,0.0636027691736798,0.0344538709083075
10,5567123,5567123,0.105724760483903,0.105724760483903,22993,220602,220602,1,7,0.804254315707305,1,0.843618119872175,1,0.0884166300850406,0.107422488186416
6,151772946,151772946,0.105451712438154,0.105451712438154,188212,161688,161688,1,10,0.8130036347078,1,0.849749148242412,1,0.103705674179855,-0.0110626320839418
8,22422657,22422657,-0.10510191717028,0.10510191717028,206358,195897,195897,1,7,0.824574527772583,1,0.857831697579301,1,-0.0168672583294876,-0.205521286006151
18,57364491,57364491,0.104992816031495,0.104992816031495,103100,376512,376512,1,7,0.828152316211447,1,0.860401200185395,1,0.037821038538574,0.0317876274486748
1,113257602,113257602,0.104935720356266,0.104935720356266,12451,23551,23551,1,10,0.829973735780324,1,0.861620900789553,1,0.0504135134527262,-0.0478626383919357
15,80351522,80351522,0.104903731111776,0.104903731111776,76434,323402,323402,1,8,0.831047072311983,1,0.86236898382677,1,0.120600020807015,0.0786867908042935
1,169764525,169764525,0.104760218047219,0.104760218047219,16111,30781,30781,1,7,0.835860824029728,1,0.865841064879941,1,-0.0466119667631601,-0.0644701377924306
20,3184938,3184938,0.104447631712635,0.104447631712635,132672,402543,402543,1,8,0.846309592538685,1,0.873354420601556,1,0.0591011082837373,0.0425263177437829
6,32185340,32185340,0.104390266537076,0.104390266537076,181252,147284,147284,1,9,0.848383083565754,1,0.874826192663907,1,0.143983146195974,0.0408304834836396
5,1875548,1875548,-0.104134507918973,0.104134507918973,166246,114428,114428,1,8,0.857116139891528,1,0.880981615046227,1,-0.12580990852822,-0.102269985660438
